"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2012","Florida","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","11"
"2017","Florida","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","11"
"2022","Florida","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","12"
"2012","Florida","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","12"
"2017","Florida","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","11"
"2022","Florida","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","12"
"2012","Florida","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","8"
"2017","Florida","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","5"
"2022","Florida","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","5"
"2012","Florida","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","9"
"2017","Florida","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","11"
"2022","Florida","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","11"
"2012","Florida","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","2"
"2017","Florida","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","2"
"2022","Florida","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","2"
"2012","Florida","Government Organization","GO0018","Total population of county governments","001","State and Local","17,937,047"
"2017","Florida","Government Organization","GO0018","Total population of county governments","001","State and Local","20,046,466"
"2022","Florida","Government Organization","GO0018","Total population of county governments","001","State and Local","20,781,193"
"2012","Florida","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","219,994"
"2017","Florida","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","218,792"
"2022","Florida","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","193,042"
"2012","Florida","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,887,624"
"2017","Florida","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,183,944"
"2022","Florida","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,045,816"
"2012","Florida","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","406,627"
"2017","Florida","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","412,612"
"2022","Florida","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","437,844"
"2012","Florida","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","4,153,739"
"2017","Florida","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","3,877,033"
"2022","Florida","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","4,431,324"
"2012","Florida","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","631,244"
"2017","Florida","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","371,186"
"2022","Florida","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","400,980"
"2012","Florida","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","10,620,584"
"2017","Florida","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","12,966,206"
"2022","Florida","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","13,255,905"
"2012","Florida","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","17,235"
"2017","Florida","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","16,693"
"2022","Florida","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","16,282"
"2012","Georgia","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","153"
"2017","Georgia","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","152"
"2022","Georgia","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","152"
"2012","Georgia","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","52"
"2017","Georgia","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","52"
"2022","Georgia","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","47"
"2012","Georgia","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","15"
"2017","Georgia","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","15"
"2022","Georgia","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","13"
"2012","Georgia","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","33"
"2017","Georgia","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","32"
"2022","Georgia","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","35"
"2012","Georgia","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2017","Georgia","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2022","Georgia","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2012","Georgia","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","17"
"2017","Georgia","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","16"
"2022","Georgia","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","16"
"2012","Georgia","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","4"
"2017","Georgia","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","4"
"2022","Georgia","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","4"
"2012","Georgia","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","30"
"2017","Georgia","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","31"
"2022","Georgia","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","33"
"2012","Georgia","Government Organization","GO0018","Total population of county governments","001","State and Local","9,163,926"
"2017","Georgia","Government Organization","GO0018","Total population of county governments","001","State and Local","9,738,289"
"2022","Georgia","Government Organization","GO0018","Total population of county governments","001","State and Local","10,089,145"
"2012","Georgia","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","890,300"
"2017","Georgia","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","904,499"
"2022","Georgia","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","804,853"
"2012","Georgia","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,124,090"
"2017","Georgia","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,315,827"
"2022","Georgia","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,939,486"
"2012","Georgia","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","1,078,256"
"2017","Georgia","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","1,074,922"
"2022","Georgia","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","1,198,728"
"2012","Georgia","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","524,552"
"2017","Georgia","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","575,654"
"2022","Georgia","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,128,250"
"2012","Georgia","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,224,735"
"2017","Georgia","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,179,194"
"2022","Georgia","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,232,564"
"2012","Georgia","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","3,105,873"
"2017","Georgia","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","3,470,690"
"2022","Georgia","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","3,554,400"
"2012","Georgia","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","216,120"
"2017","Georgia","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","217,503"
"2022","Georgia","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","230,864"
"2012","Hawaii","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","3"
"2017","Hawaii","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","3"
"2022","Hawaii","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","3"
"2012","Hawaii","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2017","Hawaii","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2022","Hawaii","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2012","Hawaii","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","1"
"2017","Hawaii","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","1"
"2022","Hawaii","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","1"
"2012","Hawaii","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0018","Total population of county governments","001","State and Local","407,004"
"2017","Hawaii","Government Organization","GO0018","Total population of county governments","001","State and Local","438,800"
"2022","Hawaii","Government Organization","GO0018","Total population of county governments","001","State and Local","440,581"
"2012","Hawaii","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","339,913"
"2017","Hawaii","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","366,641"
"2022","Hawaii","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","367,127"
"2012","Hawaii","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","67,091"
"2017","Hawaii","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","72,159"
"2022","Hawaii","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","73,454"
"2012","Hawaii","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","Hawaii","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2017","Hawaii","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2022","Hawaii","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2012","Idaho","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","44"
"2017","Idaho","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","44"
"2022","Idaho","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","44"
"2012","Idaho","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","15"
"2017","Idaho","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","16"
"2022","Idaho","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","14"
"2012","Idaho","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","3"
"2017","Idaho","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","3"
"2022","Idaho","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","3"
"2012","Idaho","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","7"
"2017","Idaho","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","7"
"2022","Idaho","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","8"
"2012","Idaho","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","1"
"2017","Idaho","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","1"
"2022","Idaho","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2012","Idaho","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2017","Idaho","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2022","Idaho","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2012","Idaho","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","Idaho","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","Idaho","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2012","Idaho","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","16"
"2017","Idaho","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","15"
"2022","Idaho","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","15"
"2012","Idaho","Government Organization","GO0018","Total population of county governments","001","State and Local","1,567,582"
"2017","Idaho","Government Organization","GO0018","Total population of county governments","001","State and Local","1,716,943"
"2022","Idaho","Government Organization","GO0018","Total population of county governments","001","State and Local","1,900,923"
"2012","Idaho","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","239,503"
"2017","Idaho","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","257,070"
"2022","Idaho","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","226,160"
"2012","Idaho","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","431,651"
"2017","Idaho","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","488,931"
"2022","Idaho","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","550,834"
"2012","Idaho","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","253,707"
"2017","Idaho","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","263,615"
"2022","Idaho","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","293,677"
"2012","Idaho","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","392,365"
"2017","Idaho","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","456,849"
"2022","Idaho","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2012","Idaho","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","160,069"
"2017","Idaho","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","170,393"
"2022","Idaho","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","234,387"
"2012","Idaho","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","Idaho","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","Idaho","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","511,931"
"2012","Idaho","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","90,287"
"2017","Idaho","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","80,085"
"2022","Idaho","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","83,934"
"2012","Illinois","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","102"
"2017","Illinois","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","102"
"2022","Illinois","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","102"
"2012","Illinois","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","36"
"2017","Illinois","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","36"
"2022","Illinois","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","36"
"2012","Illinois","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","11"
"2017","Illinois","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","11"
"2022","Illinois","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","11"
"2012","Illinois","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","20"
"2017","Illinois","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","21"
"2022","Illinois","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","23"
"2012","Illinois","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2017","Illinois","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2022","Illinois","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2012","Illinois","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","11"
"2017","Illinois","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","10"
"2022","Illinois","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","8"
"2012","Illinois","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","5"
"2017","Illinois","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","5"
"2022","Illinois","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","5"
"2012","Illinois","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","15"
"2017","Illinois","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","15"
"2022","Illinois","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","15"
"2012","Illinois","Government Organization","GO0018","Total population of county governments","001","State and Local","12,830,632"
"2017","Illinois","Government Organization","GO0018","Total population of county governments","001","State and Local","12,802,023"
"2022","Illinois","Government Organization","GO0018","Total population of county governments","001","State and Local","12,671,469"
"2012","Illinois","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","606,559"
"2017","Illinois","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","582,487"
"2022","Illinois","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","571,201"
"2012","Illinois","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,595,589"
"2017","Illinois","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,595,910"
"2022","Illinois","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,577,599"
"2012","Illinois","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","730,516"
"2017","Illinois","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","754,853"
"2022","Illinois","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","831,390"
"2012","Illinois","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,143,364"
"2017","Illinois","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,121,807"
"2022","Illinois","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,113,527"
"2012","Illinois","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","648,804"
"2017","Illinois","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","583,652"
"2022","Illinois","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","470,395"
"2012","Illinois","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","8,007,890"
"2017","Illinois","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","8,072,239"
"2022","Illinois","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","8,022,110"
"2012","Illinois","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","97,910"
"2017","Illinois","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","91,075"
"2022","Illinois","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","85,247"
"2012","Indiana","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","91"
"2017","Indiana","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","91"
"2022","Indiana","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","91"
"2012","Indiana","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","26"
"2017","Indiana","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","27"
"2022","Indiana","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","25"
"2012","Indiana","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","12"
"2017","Indiana","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","12"
"2022","Indiana","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","12"
"2012","Indiana","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","34"
"2017","Indiana","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","34"
"2022","Indiana","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","33"
"2012","Indiana","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2017","Indiana","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2022","Indiana","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2012","Indiana","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","11"
"2017","Indiana","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","10"
"2022","Indiana","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","11"
